iter	Passed	Remaining
623	3564	2147
624	3569	2141
625	3574	2135
626	3579	2129
627	3584	2123
628	3589	2117
629	3595	2111
630	3600	2105
631	3605	2099
632	3611	2093
633	3617	2088
634	3622	2082
635	3628	2076
636	3634	2070
637	3639	2064
638	3644	2058
639	3649	2053
640	3654	2046
641	3659	2040
642	3664	2034
643	3670	2028
644	3676	2023
645	3681	2017
646	3686	2011
647	3693	2006
648	3698	2000
649	3703	1994
650	3709	1988
651	3713	1982
652	3718	1975
653	3723	1970
654	3728	1963
655	3733	1957
656	3737	1951
657	3742	1945
658	3746	1938
659	3751	1932
660	3757	1927
661	3762	1920
662	3766	1914
663	3772	1908
664	3777	1902
665	3782	1896
666	3788	1891
667	3793	1885
668	3799	1879
669	3804	1873
670	3809	1867
671	3814	1861
672	3818	1855
673	3823	1849
674	3828	1843
675	3833	1837
676	3838	1831
677	3842	1825
678	3848	1819
679	3852	1813
680	3857	1806
681	3863	1801
682	3869	1795
683	3874	1789
684	3880	1784
685	3886	1778
686	3891	1772
687	3896	1766
688	3901	1760
689	3905	1754
690	3911	1748
691	3915	1742
692	3920	1736
693	3926	1731
694	3931	1725
695	3935	1719
696	3941	1713
697	3945	1707
698	3950	1701
699	3954	1694
700	3960	1689
701	3965	1683
702	3970	1677
703	3976	1671
704	3981	1666
705	3987	1660
706	3992	1654
707	3997	1648
708	4001	1642
709	4006	1636
710	4011	1630
711	4016	1624
712	4021	1618
713	4026	1612
714	4030	1606
715	4036	1600
716	4040	1594
717	4045	1588
718	4050	1582
719	4054	1576
720	4059	1570
721	4066	1565
722	4071	1559
723	4076	1553
724	4081	1548
725	4086	1542
726	4090	1536
727	4096	1530
728	4100	1524
729	4105	1518
730	4109	1512
731	4115	1506
732	4120	1500
733	4124	1494
734	4129	1488
735	4134	1483
736	4138	1476
737	4144	1471
738	4150	1465
739	4155	1460
740	4162	1454
741	4167	1449
742	4172	1443
743	4178	1437
744	4183	1432
745	4188	1426
746	4193	1420
747	4198	1414
748	4202	1408
749	4207	1402
750	4212	1396
751	4216	1390
752	4222	1385
753	4226	1379
754	4231	1373
755	4236	1367
756	4241	1361
757	4246	1355
758	4252	1350
759	4257	1344
760	4264	1339
761	4270	1333
762	4275	1328
763	4280	1322
764	4285	1316
765	4289	1310
766	4294	1304
767	4299	1298
768	4304	1292
769	4308	1287
770	4313	1281
771	4319	1275
772	4323	1269
773	4328	1263
774	4334	1258
775	4338	1252
776	4343	1246
777	4348	1240
778	4353	1235
779	4358	1229
780	4363	1223
781	4368	1217
782	4374	1212
783	4380	1206
784	4384	1200
785	4389	1195
786	4394	1189
787	4399	1183
788	4404	1177
789	4410	1172
790	4415	1166
791	4420	1161
792	4426	1155
793	4431	1149
794	4436	1144
795	4441	1138
796	4446	1132
797	4450	1126
798	4457	1121
799	4462	1115
800	4467	1109
801	4473	1104
802	4478	1098
803	4483	1092
804	4488	1087
805	4493	1081
806	4498	1075
807	4504	1070
808	4509	1064
809	4514	1058
810	4519	1053
811	4524	1047
812	4529	1041
813	4535	1036
814	4540	1030
815	4545	1024
816	4551	1019
817	4556	1013
818	4562	1008
819	4568	1002
820	4573	997
821	4578	991
822	4584	985
823	4589	980
824	4595	974
825	4600	969
826	4606	963
827	4612	958
828	4617	952
829	4622	946
830	4628	941
831	4633	935
832	4638	929
833	4644	924
834	4649	918
835	4656	913
836	4662	907
837	4667	902
838	4672	896
839	4677	890
840	4682	885
841	4687	879
842	4693	874
843	4699	868
844	4704	862
845	4709	857
846	4714	851
847	4720	846
848	4725	840
849	4730	834
850	4737	829
851	4743	823
852	4749	818
853	4755	812
854	4761	807
855	4767	802
856	4773	796
857	4779	790
858	4785	785
859	4790	779
860	4795	774
861	4801	768
862	4806	763
863	4811	757
864	4817	751
865	4821	746
866	4826	740
867	4831	734
868	4836	729
869	4842	723
870	4849	718
871	4854	712
872	4858	706
873	4864	701
874	4869	695
875	4875	690
876	4880	684
877	4885	678
878	4890	673
879	4895	667
880	4900	661
881	4905	656
882	4910	650
883	4914	644
884	4919	639
885	4925	633
886	4929	628
887	4935	622
888	4942	617
889	4948	611
890	4953	605
891	4958	600
892	4962	594
893	4968	589
894	4973	583
895	4978	577
896	4983	572
897	4988	566
898	4992	560
899	4997	555
900	5002	549
901	5007	544
902	5012	538
903	5017	532
904	5022	527
905	5026	521
906	5032	516
907	5037	510
908	5042	504
909	5047	499
910	5052	493
911	5057	488
912	5064	482
913	5068	476
914	5073	471
915	5078	465
916	5083	460
917	5088	454
918	5092	448
919	5098	443
920	5102	437
921	5107	432
922	5112	426
923	5117	420
924	5122	415
925	5129	409
926	5134	404
927	5139	398
928	5143	393
929	5148	387
930	5152	381
931	5158	376
932	5162	370
933	5167	365
934	5172	359
935	5177	354
936	5182	348
937	5187	342
938	5192	337
939	5197	331
940	5201	326
941	5207	320
942	5212	315
943	5218	309
944	5223	304
945	5228	298
946	5232	292
947	5238	287
948	5243	281
949	5248	276
950	5253	270
951	5258	265
952	5264	259
953	5268	254
954	5273	248
955	5277	242
956	5283	237
957	5288	231
958	5293	226
959	5298	220
960	5302	215
961	5307	209
962	5314	204
963	5320	198
964	5325	193
965	5330	187
966	5334	182
967	5339	176
968	5344	170
969	5349	165
970	5354	159
971	5359	154
972	5364	148
973	5368	143
974	5373	137
975	5378	132
976	5382	126
977	5387	121
978	5392	115
979	5397	110
980	5401	104
981	5411	99
982	5415	93
983	5420	88
984	5425	82
985	5430	77
986	5436	71
987	5441	66
988	5446	60
989	5452	55
990	5457	49
991	5462	44
992	5467	38
993	5472	33
994	5477	27
995	5481	22
996	5487	16
997	5491	11
998	5496	5
999	5501	0
